exchange,type,rank,symbol,name,price,price_change_24h,price_change_percentage_24h,volume_24h,market_cap,timestamp
coingecko,loser,21,HOLD,Everybody,0.0009336,-7.7974435196738e-05,-7.7082,126875,25713111,2025-06-28T01:14:15.500478
coingecko,loser,22,RARE,SuperRare,0.050877,-0.004136508731115943,-7.51909,79526323,41743107,2025-06-28T01:14:15.500489
coingecko,loser,23,FUEL,Fuel Network,0.00720769,-0.00057888839071244,-7.43444,1715427,37438979,2025-06-28T01:14:15.500497
coingecko,loser,24,MGO,Mango Network,0.01649906,-0.001287337500202587,-7.23776,8089661,26133494,2025-06-28T01:14:15.500505
coingecko,loser,25,AURA,aura,0.102668,-0.007811279989086831,-7.07035,6678958,99234944,2025-06-28T01:14:15.500514
coingecko,loser,26,SN56,Gradients,20.19,-1.532043293348135,-7.05224,2000234,25343381,2025-06-28T01:14:15.500522
coingecko,loser,27,ELA,Elastos,1.31,-0.09458434912580316,-6.7142,470191,29941846,2025-06-28T01:14:15.500531
coingecko,loser,28,OGY,ORIGYN,0.00319337,-0.000223331655806484,-6.53647,10431.02,29163083,2025-06-28T01:14:15.500539
coingecko,loser,29,SAHARA,Sahara AI,0.083985,-0.005755834862925829,-6.41387,352439016,169155546,2025-06-28T01:14:15.500551
coingecko,loser,30,BID,CreatorBid,0.113471,-0.007631966929259396,-6.30207,2218317,30444959,2025-06-28T01:14:15.500560
coingecko,loser,31,AUKI,AUKI,0.01284089,-0.000823699779369183,-6.02799,73328,26994516,2025-06-28T01:14:15.500568
coingecko,loser,32,TDCCP,TDCCP,0.194211,-0.012436520399475487,-6.01822,456165,124394457,2025-06-28T01:14:15.500576
coingecko,loser,33,AO,ao Computer,13.2,-0.810125936331545,-5.78122,2995184,56886795,2025-06-28T01:14:15.500585
coingecko,loser,34,GNS,Gains Network,1.71,-0.10486118701336178,-5.7741,8881173,50415570,2025-06-28T01:14:15.500593
coingecko,loser,35,WEMIX,WEMIX,0.379198,-0.022684323593320455,-5.64452,2284298,160441777,2025-06-28T01:14:15.500601
coingecko,loser,36,GRASS,Grass,1.12,-0.06698895488554646,-5.62745,41675278,323422799,2025-06-28T01:14:15.500610
coingecko,loser,37,AIC,AI Companions,0.154672,-0.009156439267555966,-5.58904,8917717,157253243,2025-06-28T01:14:15.500618
coingecko,loser,38,LA,Lagrange,0.483851,-0.028158606708941714,-5.49962,24968912,93808128,2025-06-28T01:14:15.500626
coingecko,loser,39,LAYER,Solayer,0.637774,-0.03625894624331505,-5.3794,41867673,134139323,2025-06-28T01:14:15.500635
coingecko,loser,40,TORN,Tornado Cash,9.22,-0.5039286671517882,-5.18214,1762884,35112791,2025-06-28T01:14:15.500643
coingecko,loser,41,CLANKER,tokenbot,45.97,-2.4865304156086694,-5.13168,8949656,45900207,2025-06-28T01:14:15.500651
coingecko,loser,42,LQ,Liqwid Finance,1.97,-0.104684517448137,-5.05102,48098,39532944,2025-06-28T01:14:15.500663
coingecko,loser,43,XEM,NEM,0.0043517,-0.000227348700600021,-4.96497,2902542,39204266,2025-06-28T01:14:15.500671
coingecko,loser,44,ALI,Artificial Liquid Intelligence,0.00485858,-0.000248038205271237,-4.85719,1364545,44282875,2025-06-28T01:14:15.500679
coingecko,loser,45,GPU,NodeAI,0.283612,-0.014139157617946596,-4.74866,5889653,27566959,2025-06-28T01:14:15.500687
coingecko,loser,46,SPX,SPX6900,1.15,-0.05575156174347029,-4.62311,64444912,1074485241,2025-06-28T01:14:15.500696
coingecko,loser,47,ANON,Hey Anon,3.85,-0.17273970607992029,-4.28941,1124753,52016311,2025-06-28T01:14:15.500704
coingecko,loser,48,WILD,Wilder World,0.120493,-0.005333679265792632,-4.23892,1465766,38995863,2025-06-28T01:14:15.500715
coingecko,loser,49,A8,Ancient8,0.096876,-0.004013199301349829,-3.97785,4712616,29116018,2025-06-28T01:14:15.500723
coingecko,loser,50,LAUNCHCOIN,Launch Coin on Believe,0.090368,-0.003704688528551534,-3.93812,26281798,90545096,2025-06-28T01:14:15.500732
binance,gainer,1,HIFI,HIFI,0.1268,0.0302,31.263,29579680.79166,,2025-06-28T01:14:16.532113
binance,gainer,2,KMD,KMD,0.0645,0.0079,13.958,5270066.7249,,2025-06-28T01:14:16.532127
binance,gainer,3,LPT,LPT,6.125,0.622,11.303,19883163.61587,,2025-06-28T01:14:16.532131
binance,gainer,4,LQTY,LQTY,1.612,0.158,10.867,6737409.8703,,2025-06-28T01:14:16.532135
binance,gainer,5,RESOLV,RESOLV,0.1555,0.0149,10.597,7520126.18199,,2025-06-28T01:14:16.532140
binance,gainer,6,PENGU,PENGU,0.01024,0.000935,10.048,28586888.001792,,2025-06-28T01:14:16.532144
binance,gainer,7,SEI,SEI,0.2815,0.0246,9.576,132042891.70249,,2025-06-28T01:14:16.532147
binance,gainer,8,SHELL,SHELL,0.1485,0.0125,9.191,4326857.75483,,2025-06-28T01:14:16.532151
binance,gainer,9,HUMA,HUMA,0.0322,0.00222,7.405,4481812.34398,,2025-06-28T01:14:16.532154
binance,gainer,10,WCT,WCT,0.3091,0.0177,6.074,7512413.80206,,2025-06-28T01:14:16.532158
binance,gainer,11,NEWT,NEWT,0.3936,0.0222,5.977,48449734.91453,,2025-06-28T01:14:16.532162
binance,gainer,12,XVG,XVG,0.005046,0.000281,5.897,1843354.159819,,2025-06-28T01:14:16.532165
binance,gainer,13,1000CHEEMS,1000CHEEMS,0.001424,6.8e-05,5.015,4195298.912892,,2025-06-28T01:14:16.532169
binance,gainer,14,RENDER,RENDER,3.124,0.141,4.727,14161939.87221,,2025-06-28T01:14:16.532172
binance,gainer,15,SPK,SPK,0.039036,0.001708,4.576,10132581.984685,,2025-06-28T01:14:16.532175
binance,gainer,16,GPS,GPS,0.02906,0.00126,4.532,4484331.067765,,2025-06-28T01:14:16.532179
binance,gainer,17,T,T,0.01803,0.00078,4.522,6097895.035843,,2025-06-28T01:14:16.532182
binance,gainer,18,CHESS,CHESS,0.0772,0.0031,4.184,4371044.71449,,2025-06-28T01:14:16.532186
binance,gainer,19,ALT,ALT,0.0267,0.00106,4.134,3565277.79328,,2025-06-28T01:14:16.532189
binance,gainer,20,NXPC,NXPC,0.9122,0.035,3.99,2970232.68912,,2025-06-28T01:14:16.532193
binance,gainer,21,MOVE,MOVE,0.1861,0.0065,3.619,12811613.09202,,2025-06-28T01:14:16.532196
binance,gainer,22,SUI,SUI,2.7158,0.0925,3.526,161130426.05168,,2025-06-28T01:14:16.532200
binance,gainer,23,BEAMX,BEAMX,0.00541,0.00018,3.442,3408893.05413,,2025-06-28T01:14:16.532203
binance,gainer,24,FIS,FIS,0.0814,0.0027,3.431,1256523.9149,,2025-06-28T01:14:16.532207
binance,gainer,25,GUN,GUN,0.02178,0.00069,3.272,2753514.35622,,2025-06-28T01:14:16.532210
binance,gainer,26,KDA,KDA,0.3829,0.0119,3.208,1356355.710887,,2025-06-28T01:14:16.532214
binance,gainer,27,AR,AR,4.72,0.14,3.057,6646216.0194,,2025-06-28T01:14:16.532217
binance,gainer,28,BIO,BIO,0.0484,0.0014,2.979,1488940.16902,,2025-06-28T01:14:16.532221
binance,gainer,29,BABY,BABY,0.04609,0.00129,2.879,4210839.38816,,2025-06-28T01:14:16.532224
binance,gainer,30,HAEDAL,HAEDAL,0.1204,0.0032,2.73,1401799.60515,,2025-06-28T01:14:16.532230
binance,gainer,31,MKR,MKR,1867.9,47.9,2.632,6240050.98017,,2025-06-28T01:14:16.532233
binance,gainer,32,VIRTUAL,VIRTUAL,1.4382,0.0344,2.45,32722761.71027,,2025-06-28T01:14:16.532236
binance,gainer,33,FET,FET,0.67,0.016,2.446,19297235.0619,,2025-06-28T01:14:16.532240
binance,gainer,34,RED,RED,0.2686,0.0064,2.441,659286.71505,,2025-06-28T01:14:16.532244
binance,gainer,35,FXS,FXS,2.018,0.047,2.385,1276448.5358,,2025-06-28T01:14:16.532247
binance,gainer,36,PORTAL,PORTAL,0.0309,0.0007,2.318,2266818.86312,,2025-06-28T01:14:16.532250
binance,gainer,37,AAVE,AAVE,257.9,5.47,2.167,39891515.51123,,2025-06-28T01:14:16.532254
binance,gainer,38,EDU,EDU,0.129,0.0027,2.138,495245.9491,,2025-06-28T01:14:16.532257
binance,gainer,39,QNT,QNT,100.04,2.07,2.113,1529719.69527,,2025-06-28T01:14:16.532261
binance,gainer,40,PSG,PSG,1.421,0.029,2.083,1561166.7816,,2025-06-28T01:14:16.532264
binance,gainer,41,SUPER,SUPER,0.5948,0.012,2.059,1838077.0943,,2025-06-28T01:14:16.532267
binance,gainer,42,SSV,SSV,7.06,0.14,2.023,1336918.88624,,2025-06-28T01:14:16.532271
binance,gainer,43,DIA,DIA,0.3683,0.0073,2.022,303319.41987,,2025-06-28T01:14:16.532274
binance,gainer,44,MUBARAK,MUBARAK,0.03295,0.00065,2.012,7710301.179817,,2025-06-28T01:14:16.532278
binance,gainer,45,REZ,REZ,0.00808,0.00015,1.892,1258821.676419,,2025-06-28T01:14:16.532281
binance,gainer,46,PYTH,PYTH,0.0924,0.0017,1.874,4884623.47885,,2025-06-28T01:14:16.532285
binance,gainer,47,DCR,DCR,14.48,0.26,1.828,218130.62011,,2025-06-28T01:14:16.532288
binance,gainer,48,ATM,ATM,1.003,0.018,1.827,281778.22307,,2025-06-28T01:14:16.532291
binance,gainer,49,USUAL,USUAL,0.0615,0.0011,1.821,2107714.73911,,2025-06-28T01:14:16.532295
binance,gainer,50,BROCCOLI714,BROCCOLI714,0.0275,0.00049,1.814,4900507.17417,,2025-06-28T01:14:16.532298
binance,loser,1,ZRO,ZRO,1.683,-0.03,-1.751,3576782.46516,,2025-06-28T01:14:16.532302
binance,loser,2,PAXG,PAXG,3289.12,-60.82,-1.816,23282060.819053,,2025-06-28T01:14:16.532305
binance,loser,3,CHR,CHR,0.0756,-0.0014,-1.818,926587.4349,,2025-06-28T01:14:16.532309
binance,loser,4,PUNDIX,PUNDIX,0.269,-0.005,-1.825,515732.36166,,2025-06-28T01:14:16.532312
binance,loser,5,NEO,NEO,5.29,-0.1,-1.855,3255622.1316,,2025-06-28T01:14:16.532317
binance,loser,6,RIF,RIF,0.0521,-0.001,-1.883,566432.524,,2025-06-28T01:14:16.532320
binance,loser,7,XEC,XEC,1.84e-05,-3.7e-07,-1.971,453169.51070282,,2025-06-28T01:14:16.532323
binance,loser,8,LINK,LINK,12.88,-0.26,-1.979,21619113.1231,,2025-06-28T01:14:16.532327
binance,loser,9,VELODROME,VELODROME,0.0432,-0.0009,-2.041,550734.99848,,2025-06-28T01:14:16.532330
binance,loser,10,METIS,METIS,13.86,-0.29,-2.049,2847714.24328,,2025-06-28T01:14:16.532333
binance,loser,11,EIGEN,EIGEN,1.051,-0.022,-2.05,9978729.60035,,2025-06-28T01:14:16.532337
binance,loser,12,BEL,BEL,0.2066,-0.0044,-2.085,584963.15936,,2025-06-28T01:14:16.532340
binance,loser,13,AGLD,AGLD,0.654,-0.014,-2.096,887759.897,,2025-06-28T01:14:16.532343
binance,loser,14,C98,C98,0.0414,-0.0009,-2.128,1492690.77286,,2025-06-28T01:14:16.532347
binance,loser,15,LOKA,LOKA,0.0506,-0.0011,-2.128,842887.01506,,2025-06-28T01:14:16.532350
binance,loser,16,MBL,MBL,0.002141,-4.9e-05,-2.237,1443788.060924,,2025-06-28T01:14:16.532353
binance,loser,17,POLYX,POLYX,0.1181,-0.0028,-2.316,1074990.67567,,2025-06-28T01:14:16.532356
binance,loser,18,FLM,FLM,0.0328,-0.0008,-2.381,1087619.8094,,2025-06-28T01:14:16.532360
binance,loser,19,BAR,BAR,1.018,-0.025,-2.397,624691.35933,,2025-06-28T01:14:16.532363
binance,loser,20,SOLV,SOLV,0.04506,-0.00112,-2.425,1001471.57046,,2025-06-28T01:14:16.532368
binance,loser,21,FARM,FARM,25.53,-0.66,-2.52,1263204.42868,,2025-06-28T01:14:16.532371
binance,loser,22,RDNT,RDNT,0.01953,-0.00051,-2.545,522664.03718,,2025-06-28T01:14:16.532375
binance,loser,23,HYPER,HYPER,0.0915,-0.0024,-2.556,1650589.29394,,2025-06-28T01:14:16.532378
binance,loser,24,FLUX,FLUX,0.1867,-0.0051,-2.659,1015862.988933,,2025-06-28T01:14:16.532381
binance,loser,25,PEPE,PEPE,9.04e-06,-2.6e-07,-2.796,109445597.37257019,,2025-06-28T01:14:16.532384
binance,loser,26,CELO,CELO,0.253,-0.0073,-2.804,1950270.76765,,2025-06-28T01:14:16.532388
binance,loser,27,HOME,HOME,0.01916,-0.00056,-2.84,2519806.03661,,2025-06-28T01:14:16.532391
binance,loser,28,ALPHA,ALPHA,0.0154,-0.0005,-3.145,5223458.6285,,2025-06-28T01:14:16.532394
binance,loser,29,CVX,CVX,2.343,-0.078,-3.222,1003769.075589,,2025-06-28T01:14:16.532398
binance,loser,30,AUDIO,AUDIO,0.0557,-0.0019,-3.299,1298958.51098,,2025-06-28T01:14:16.532402
binance,loser,31,INJ,INJ,10.47,-0.36,-3.324,11409516.4817,,2025-06-28T01:14:16.532405
binance,loser,32,ASR,ASR,2.352,-0.081,-3.329,695122.3208,,2025-06-28T01:14:16.532409
binance,loser,33,TIA,TIA,1.416,-0.056,-3.804,16578594.50729,,2025-06-28T01:14:16.532412
binance,loser,34,CTK,CTK,0.2594,-0.0105,-3.89,1551267.33072,,2025-06-28T01:14:16.532415
binance,loser,35,LISTA,LISTA,0.2006,-0.0086,-4.111,1625168.34483,,2025-06-28T01:14:16.532419
binance,loser,36,AWE,AWE,0.05391,-0.00243,-4.313,1177662.50409,,2025-06-28T01:14:16.532422
binance,loser,37,NKN,NKN,0.024,-0.0011,-4.382,1979172.8185,,2025-06-28T01:14:16.532425
binance,loser,38,MBOX,MBOX,0.0456,-0.0021,-4.403,2512176.98149,,2025-06-28T01:14:16.532428
binance,loser,39,VOXEL,VOXEL,0.0448,-0.0022,-4.681,1320839.39743,,2025-06-28T01:14:16.532432
binance,loser,40,LAYER,LAYER,0.6378,-0.0354,-5.258,6274280.296072,,2025-06-28T01:14:16.532435
binance,loser,41,GNS,GNS,1.723,-0.103,-5.641,3236724.21987,,2025-06-28T01:14:16.532438
binance,loser,42,PERP,PERP,0.2154,-0.0141,-6.144,1784001.422956,,2025-06-28T01:14:16.532442
binance,loser,43,DATA,DATA,0.01544,-0.0011,-6.651,1866160.97404,,2025-06-28T01:14:16.532445
binance,loser,44,SAHARA,SAHARA,0.08389,-0.00708,-7.783,57210758.02969,,2025-06-28T01:14:16.532449
binance,loser,45,RARE,RARE,0.0507,-0.0045,-8.152,15303733.49276,,2025-06-28T01:14:16.532452
binance,loser,46,ACX,ACX,0.1345,-0.0123,-8.379,3331239.08798,,2025-06-28T01:14:16.532455
binance,loser,47,W,W,0.0633,-0.0064,-9.182,14989831.98547,,2025-06-28T01:14:16.532459
binance,loser,48,LTO,LTO,0.0168,-0.0019,-10.16,3728919.6747,,2025-06-28T01:14:16.532462
binance,loser,49,BSW,BSW,0.0216,-0.0051,-19.101,14004521.15884,,2025-06-28T01:14:16.532465
binance,loser,50,BANANAS31,BANANAS31,0.011045,-0.004737,-30.015,101859191.239285,,2025-06-28T01:14:16.532468
bybit,gainer,1,EXVG,EXVG,0.004528,0.0008281712,18.29,60578.16025655,,2025-06-28T01:14:17.328932
bybit,gainer,2,NAVX,NAVX,0.03741,0.0062699159999999995,16.76,284747.5806203,,2025-06-28T01:14:17.328957
bybit,gainer,3,ZEX,ZEX,0.17621,0.023700245,13.450000000000001,292098.8921873,,2025-06-28T01:14:17.328966
bybit,gainer,4,GAME,GAME,0.05252,0.006759324,12.870000000000001,647020.284265,,2025-06-28T01:14:17.328973
bybit,gainer,5,RESOLV,RESOLV,0.1557,0.0169713,10.9,3703734.76534,,2025-06-28T01:14:17.328980
bybit,gainer,6,LOOKS,LOOKS,0.01325,0.001355475,10.23,531438.7308597,,2025-06-28T01:14:17.328988
bybit,gainer,7,PENGU,PENGU,0.01025,0.00104755,10.22,6354628.30902,,2025-06-28T01:14:17.328995
bybit,gainer,8,ROAM,ROAM,0.1383,0.0141066,10.2,1810383.656107,,2025-06-28T01:14:17.329002
bybit,gainer,9,STOP,STOP,0.06429,0.006351852,9.879999999999999,192257.66106,,2025-06-28T01:14:17.329009
bybit,gainer,10,AFG,AFG,0.003411,0.00033018479999999997,9.68,36542.36423391,,2025-06-28T01:14:17.329016
bybit,gainer,11,SEI,SEI,0.2814,0.026704859999999997,9.49,25564329.810628,,2025-06-28T01:14:17.329023
bybit,gainer,12,XZK,XZK,0.006396,0.00048737520000000003,7.62,114551.38826592,,2025-06-28T01:14:17.329030
bybit,gainer,13,XAR,XAR,0.004834,0.00036690059999999996,7.59,80045.91274114,,2025-06-28T01:14:17.329037
bybit,gainer,14,HUMA,HUMA,0.03219,0.0024078120000000005,7.48,1277068.429023,,2025-06-28T01:14:17.329043
bybit,gainer,15,KILO,KILO,0.02189,0.001622049,7.41,379021.726066,,2025-06-28T01:14:17.329050
bybit,gainer,16,TURBOS,TURBOS,0.0012874,9.385146000000001e-05,7.290000000000001,54654.626792371,,2025-06-28T01:14:17.329057
bybit,gainer,17,DOP1,DOP1,0.0002416,1.746768e-05,7.23,209306.5393408,,2025-06-28T01:14:17.329064
bybit,gainer,18,HNT,HNT,2.26,0.16294599999999998,7.21,530292.449491,,2025-06-28T01:14:17.329071
